<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;190128;000000;212;213.3;207.63;209.7;56384930
SBER;D;190129;000000;209.71;214.49;206.91;213.61;63896190
SBER;D;190130;000000;213.8;215.7;212.22;213.14;59281660
SBER;D;190131;000000;215.17;218.1;214.67;217.9;80129070
SBER;D;190201;000000;217.99;218.7;215.01;216.29;55398450
SBER;D;190204;000000;216.25;217.14;215.06;215.5;40874530
SBER;D;190205;000000;216;218.55;214.61;217.85;46589060
SBER;D;190206;000000;217.92;218.15;215.41;216.59;46139530
SBER;D;190207;000000;216;216.65;210.6;211.01;69155220
SBER;D;190208;000000;209.99;211.93;208.7;210.43;51480680
SBER;D;190211;000000;211;214.72;210.8;214;49597150
SBER;D;190212;000000;214.73;219.45;214.6;219.1;73524360
SBER;D;190213;000000;219.6;220.7;213.1;213.9;85042730
SBER;D;190214;000000;208.5;209.85;201.7;204.43;154867810
SBER;D;190215;000000;205.94;209;205.52;208;78872640
SBER;D;190218;000000;208.7;209.73;203.2;204.19;76368650
SBER;D;190219;000000;203.6;205.6;201.1;202.08;66628330
SBER;D;190220;000000;203.9;206.89;203.23;206.89;66614210
SBER;D;190221;000000;207.56;207.87;202.3;203.41;68058950
SBER;D;190222;000000;203.62;206.1;203.03;205.25;45737340
SBER;D;190225;000000;205.5;208.6;204.2;205.86;70760670
SBER;D;190226;000000;204.8;205.8;202.9;205.8;50742950
SBER;D;190227;000000;206.06;206.9;203.9;205.4;54017660
SBER;D;190228;000000;205;208.89;204.16;207.8;62293690
SBER;D;190301;000000;208.44;209;206.1;206.54;46000050
SBER;D;190304;000000;207.02;207.5;205.25;205.5;31471880
SBER;D;190305;000000;204.84;204.9;202.25;202.92;46296020
SBER;D;190306;000000;202.89;205.7;202.6;205;52926540
SBER;D;190307;000000;205.1;206.67;203.5;203.95;46053890
SBER;D;190311;000000;203.2;205.6;202.56;205.25;42374840
SBER;D;190312;000000;206.5;206.89;204.4;205.1;42016460
SBER;D;190313;000000;204.69;206;203.8;206;28504220
SBER;D;190314;000000;205.6;206.38;203.5;203.66;43825330
SBER;D;190315;000000;204.2;204.95;203.55;203.55;35811130
SBER;D;190318;000000;204.25;206.14;204.11;205.9;40789510
SBER;D;190319;000000;206.4;208.31;205.93;207.7;47705420
SBER;D;190320;000000;207.55;209.84;206.4;209.8;55498860
SBER;D;190321;000000;210.27;212.29;209.77;210.61;66856470
SBER;D;190322;000000;210.65;211.29;206.7;207.7;49381080
